,mean,std_dev,std_err
all,0.17955413624267155,0.07178115287234058,0.004785410191489372
p225,0.1812110741477013,0.08118363913806913,0.01730841002059171
p240,0.13977806656114983,0.02846419282098464,0.005935194487675207
p231,0.1892702202662676,0.09049315814204133,0.01929320614116475
p229,0.1982135217325257,0.06728707208295766,0.01403032440899407
p226,0.13627346450213534,0.07483204327281918,0.015603559655725557
p228,0.14830149297066192,0.04781804553384807,0.010194841562541607
p232,0.19003647831550535,0.07384955374811462,0.015398696428164571
p268,0.18203350737780177,0.07577597654963787,0.01653567373323401
p257,0.22801421123926718,0.05665470024207295,0.011813321624555053
p258,0.201760591440955,0.056645799617890416,0.01181146571611889
